user_id,question_id,score,answer,category
6,48,2.0,17.0,Places
6,49,3.0,5.0,Colours
6,50,3.0,18.0,Places
6,51,4.0,16.0,Places
6,52,1.0,18.0,Places
6,53,2.0,1.0,Colours
6,54,1.0,5.0,Colours
6,55,2.0,19.0,Places
6,56,3.0,10.0,Abstract concepts
6,57,3.0,1.0,Colours
6,58,1.0,2.0,Colours
6,59,2.0,16.0,Places
6,60,2.0,9.0,Abstract concepts
7,1,1.0,3.0,Colours
7,2,1.0,4.0,Colours
7,3,1.0,3.0,Colours
7,4,1.0,2.0,Colours
7,5,1.0,2.0,Colours
7,6,1.0,1.0,Abstract concepts
7,7,1.0,3.0,Abstract concepts
7,8,1.0,4.0,Abstract concepts
7,9,1.0,3.0,Abstract concepts
7,10,1.0,3.0,Abstract concepts
7,11,1.0,2.0,Subjects
7,12,1.0,3.0,Subjects
7,13,1.0,4.0,Subjects
7,14,1.0,3.0,Subjects
7,15,1.0,3.0,Subjects
7,16,1.0,3.0,Places
7,17,1.0,1.0,Places
7,18,1.0,2.0,Places
7,19,1.0,2.0,Places
7,20,1.0,2.0,Places
7,21,3.0,7.0,Abstract concepts
7,22,2.0,9.0,Abstract concepts
7,23,3.0,8.0,Abstract concepts
7,24,4.0,16.0,Places
7,25,2.0,13.0,Subjects
7,26,3.0,9.0,Abstract concepts
7,27,4.0,16.0,Places
7,28,2.0,7.0,Abstract concepts
7,29,3.0,5.0,Colours
7,30,2.0,8.0,Abstract concepts
7,31,2.0,7.0,Abstract concepts
7,32,4.0,2.0,Colours
7,33,2.0,13.0,Subjects
7,34,1.0,5.0,Colours
7,35,2.0,8.0,Abstract concepts
7,36,3.0,17.0,Places
7,37,3.0,19.0,Places
7,38,1.0,2.0,Colours
7,39,2.0,16.0,Places
7,40,3.0,20.0,Places
7,41,4.0,18.0,Places
7,42,4.0,3.0,Colours
7,43,3.0,20.0,Places
7,44,4.0,16.0,Places
7,45,2.0,17.0,Places
7,46,3.0,19.0,Places
7,47,4.0,16.0,Places
7,48,2.0,7.0,Abstract concepts
7,49,3.0,5.0,Colours
7,50,2.0,8.0,Abstract concepts
7,51,4.0,16.0,Places
7,52,1.0,18.0,Places
7,53,4.0,20.0,Places
7,54,1.0,5.0,Colours
7,55,2.0,19.0,Places
7,56,3.0,17.0,Places
7,57,3.0,19.0,Places
7,58,1.0,2.0,Colours
7,59,2.0,16.0,Places
7,60,3.0,20.0,Places
8,1,1.0,2.0,Colours
8,2,1.0,4.0,Colours
8,3,1.0,3.0,Colours
8,4,1.0,1.0,Colours
8,5,1.0,1.0,Colours
8,6,1.0,2.0,Abstract concepts
8,7,1.0,4.0,Abstract concepts
8,8,1.0,4.0,Abstract concepts
8,9,1.0,4.0,Abstract concepts
8,10,1.0,3.0,Abstract concepts
8,11,1.0,3.0,Subjects
8,12,1.0,3.0,Subjects
8,13,1.0,3.0,Subjects
8,14,1.0,3.0,Subjects
8,15,1.0,3.0,Subjects
8,16,1.0,4.0,Places
8,17,1.0,1.0,Places
8,18,1.0,3.0,Places
8,19,1.0,1.0,Places
8,20,1.0,2.0,Places
8,21,3.0,7.0,Abstract concepts
8,22,2.0,9.0,Abstract concepts
8,23,3.0,8.0,Abstract concepts
8,24,2.0,15.0,Subjects
8,25,2.0,13.0,Subjects
8,26,3.0,9.0,Abstract concepts
8,27,4.0,16.0,Places
8,28,4.0,2.0,Colours
8,29,3.0,5.0,Colours
8,30,3.0,3.0,Colours
8,31,4.0,16.0,Places
8,32,4.0,2.0,Colours
8,33,4.0,20.0,Places
8,34,1.0,5.0,Colours
8,35,2.0,8.0,Abstract concepts
8,36,3.0,17.0,Places
8,37,2.0,7.0,Abstract concepts
8,38,1.0,2.0,Colours
8,39,2.0,16.0,Places
8,40,3.0,3.0,Colours
8,41,1.0,1.0,Colours
8,42,2.0,11.0,Subjects
8,43,3.0,20.0,Places
8,44,3.0,6.0,Abstract concepts
8,45,4.0,5.0,Colours
8,46,2.0,14.0,Subjects
8,47,2.0,11.0,Subjects
8,48,4.0,2.0,Colours
8,49,3.0,20.0,Places
8,50,3.0,18.0,Places
8,51,4.0,16.0,Places
8,52,4.0,2.0,Colours
8,53,4.0,20.0,Places
8,54,3.0,9.0,Abstract concepts
8,55,4.0,3.0,Colours
8,56,3.0,17.0,Places
8,57,3.0,1.0,Colours
8,58,1.0,2.0,Colours
8,59,3.0,5.0,Colours
8,60,3.0,3.0,Colours
9,1,1.0,3.0,Colours
9,2,1.0,4.0,Colours
9,3,1.0,4.0,Colours
9,4,1.0,2.0,Colours
9,5,1.0,2.0,Colours
9,6,1.0,1.0,Abstract concepts
9,7,1.0,3.0,Abstract concepts
9,8,1.0,4.0,Abstract concepts
9,9,1.0,3.0,Abstract concepts
9,10,1.0,3.0,Abstract concepts
9,11,1.0,3.0,Subjects
9,12,1.0,1.0,Subjects
9,13,1.0,4.0,Subjects
9,14,1.0,3.0,Subjects
9,15,1.0,3.0,Subjects
9,16,1.0,3.0,Places
9,17,1.0,2.0,Places
9,18,1.0,2.0,Places
9,19,1.0,3.0,Places
9,20,1.0,2.0,Places
9,21,3.0,7.0,Abstract concepts
9,22,4.0,3.0,Colours
9,23,3.0,8.0,Abstract concepts
9,24,4.0,16.0,Places
9,25,2.0,13.0,Subjects
9,26,3.0,9.0,Abstract concepts
9,27,4.0,16.0,Places
9,28,4.0,2.0,Colours
9,29,3.0,20.0,Places
9,30,3.0,3.0,Colours
9,31,4.0,16.0,Places
9,32,4.0,2.0,Colours
9,33,2.0,13.0,Subjects
9,34,3.0,9.0,Abstract concepts
9,35,2.0,19.0,Places
9,36,2.0,11.0,Subjects
9,37,2.0,7.0,Abstract concepts
9,38,1.0,2.0,Colours
9,39,3.0,8.0,Abstract concepts
9,40,3.0,3.0,Colours
9,41,1.0,1.0,Colours
9,42,4.0,3.0,Colours
9,43,3.0,20.0,Places
9,44,4.0,16.0,Places
9,45,2.0,17.0,Places
9,46,2.0,4.0,Colours
9,47,4.0,16.0,Places
9,48,4.0,2.0,Colours
9,49,3.0,5.0,Colours
9,50,3.0,3.0,Colours
9,51,4.0,16.0,Places
9,52,4.0,2.0,Colours
9,53,4.0,20.0,Places
9,54,1.0,5.0,Colours
9,55,4.0,3.0,Colours
9,56,2.0,11.0,Subjects
9,57,2.0,13.0,Subjects
9,58,1.0,2.0,Colours
9,59,2.0,16.0,Places
9,60,2.0,9.0,Abstract concepts
10,1,1.0,4.0,Colours
10,2,1.0,4.0,Colours
10,3,1.0,3.0,Colours
10,4,1.0,4.0,Colours
10,5,1.0,4.0,Colours
10,6,1.0,2.0,Abstract concepts
10,7,1.0,4.0,Abstract concepts
10,8,1.0,3.0,Abstract concepts
10,9,1.0,3.0,Abstract concepts
10,10,1.0,1.0,Abstract concepts
10,11,1.0,4.0,Subjects
10,12,1.0,2.0,Subjects
